,0,1,2
0,CITY:US020002,Fairbanks,AK
1,CITY:US020001,Anchorage,AK
2,CITY:US010002,Anniston,AL
3,CITY:US010003,Auburn,AL
4,CITY:US010004,Birmingham,AL
5,CITY:US010009,Florence,AL
6,CITY:US010012,Huntsville,AL
7,CITY:US010019,Tuscaloosa,AL
8,CITY:US010006,Dothan,AL
9,CITY:US010015,Montgomery,AL
10,CITY:US010014,Mobile,AL
11,CITY:US010011,Gadsden,AL
12,CITY:US050006,Fayetteville,AR
13,CITY:US050008,Fort Smith,AR
14,CITY:US050013,Little Rock,AR
15,CITY:US050012,Jonesboro,AR
16,CITY:US050011,Hot Springs,AR
17,CITY:US050017,Pine Bluff,AR
18,CITY:US040007,Lake Havasu City,AZ
19,CITY:US040011,Phoenix,AZ
20,CITY:US040013,Sierra Vista,AZ
21,CITY:US040012,Prescott,AZ
22,CITY:US040014,Tucson,AZ
23,CITY:US040004,Flagstaff,AZ
24,CITY:US040015,Yuma,AZ
25,CITY:US060013,Los Angeles,CA
26,CITY:US060020,Oxnard,CA
27,CITY:US060025,Riverside,CA
28,CITY:US060027,Sacramento,CA
29,CITY:US060030,San Diego,CA
30,CITY:US060031,San Francisco,CA
31,CITY:US060032,San Jose,CA
32,CITY:US060033,San Luis Obispo,CA
33,CITY:US060037,Santa Cruz,CA
34,CITY:US060038,Santa Maria,CA
35,CITY:US060042,Stockton,CA
36,CITY:US060045,Vallejo,CA
37,CITY:US060046,Visalia,CA
38,CITY:US060039,Santa Rosa,CA
39,CITY:US060017,Napa,CA
40,CITY:US060005,Chico,CA
41,CITY:US060023,Redding,CA
42,CITY:US060015,Modesto,CA
43,CITY:US060047,Yuba City,CA
44,CITY:US060010,Fresno,CA
45,CITY:US060028,Salinas,CA
46,CITY:US060002,Bakersfield,CA
47,CITY:US060014,Merced,CA
48,CITY:US060008,El Centro,CA
49,CITY:US080004,Denver,CO
50,CITY:US080001,Boulder,CO
51,CITY:US080006,Fort Collins,CO
52,CITY:US080003,Colorado Springs,CO
53,CITY:US080008,Grand Junction,CO
54,CITY:US080010,Pueblo,CO
55,CITY:US090007,Norwich,CT
56,CITY:US090001,Bridgeport,CT
57,CITY:US090003,Hartford,CT
58,CITY:US090002,Danbury,CT
59,CITY:US090004,New Haven,CT
60,CITY:US090010,Waterbury,CT
61,CITY:US100001,Dover,DE
62,CITY:US120005,Cape Coral,FL
63,CITY:US120008,Crestview,FL
64,CITY:US120010,Deltona,FL
65,CITY:US120025,Miami,FL
66,CITY:US120026,Naples,FL
67,CITY:US120028,Orlando,FL
68,CITY:US120032,Pensacola,FL
69,CITY:US120041,Tampa,FL
70,CITY:US120015,Gainesville,FL
71,CITY:US120040,Tallahassee,FL
72,CITY:US120018,Jacksonville,FL
73,CITY:US120031,Panama City,FL
74,CITY:US120035,Port St. Lucie,FL
75,CITY:US120027,Ocala,FL
76,CITY:US120016,Homosassa Springs,FL
77,CITY:US130005,Augusta,GA
78,CITY:US130009,Columbus,GA
79,CITY:US130003,Athens,GA
80,CITY:US130004,Atlanta,GA
81,CITY:US130018,Macon,GA
82,CITY:US130014,Gainesville,GA
83,CITY:US130022,Savannah,GA
84,CITY:US130007,Brunswick,GA
85,CITY:US130021,Rome,GA
86,CITY:US130027,Valdosta,GA
87,CITY:US130016,Hinesville,GA
88,CITY:US130010,Dalton,GA
89,CITY:US130001,Albany,GA
90,CITY:US150003,Kahului,HI
91,CITY:US190007,Davenport,IA
92,CITY:US190017,Sioux City,IA
93,CITY:US190008,Des Moines,IA
94,CITY:US190020,Waterloo,IA
95,CITY:US190001,Ames,IA
96,CITY:US190011,Iowa City,IA
97,CITY:US190009,Dubuque,IA
98,CITY:US190005,Cedar Rapids,IA
99,CITY:US160004,Lewiston,ID
100,CITY:US160003,Idaho Falls,ID
101,CITY:US160008,Pocatello,ID
102,CITY:US160009,Twin Falls,ID
103,CITY:US160002,Coeur d'Alene,ID
104,CITY:US170006,Chicago,IL
105,CITY:US170003,Carbondale,IL
106,CITY:US170004,Champaign,IL
107,CITY:US170002,Bloomington,IL
108,CITY:US170028,Springfield,IL
109,CITY:US170008,Danville,IL
110,CITY:US170024,Peoria,IL
111,CITY:US170017,Kankakee,IL
112,CITY:US170010,Decatur,IL
113,CITY:US170027,Rockford,IL
114,CITY:US180012,South Bend,IN
115,CITY:US180002,Evansville,IN
116,CITY:US180004,Indianapolis,IN
117,CITY:US180006,Lafayette,IN
118,CITY:US180008,Michigan City,IN
119,CITY:US180003,Fort Wayne,IN
120,CITY:US180001,Bloomington,IN
121,CITY:US180009,Muncie,IN
122,CITY:US180005,Kokomo,IN
123,CITY:US180013,Terre Haute,IN
124,CITY:US200011,Manhattan,KS
125,CITY:US200008,Lawrence,KS
126,CITY:US200014,Topeka,KS
127,CITY:US200015,Wichita,KS
128,CITY:US210004,Elizabethtown,KY
129,CITY:US210008,Lexington,KY
130,CITY:US210013,Owensboro,KY
131,CITY:US210001,Bowling Green,KY
132,CITY:US220007,Houma,LA
133,CITY:US220016,New Orleans,LA
134,CITY:US220019,Shreveport,LA
135,CITY:US220003,Baton Rouge,LA
136,CITY:US220010,Lake Charles,LA
137,CITY:US220009,Lafayette,LA
138,CITY:US220001,Alexandria,LA
139,CITY:US220006,Hammond,LA
140,CITY:US220012,Monroe,LA
141,CITY:US250002,Boston,MA
142,CITY:US250014,Worcester,MA
143,CITY:US250013,Springfield,MA
144,CITY:US250007,Leominster,MA
145,CITY:US250012,Pittsfield,MA
146,CITY:US250009,New Bedford,MA
147,CITY:US250001,Barnstable Town,MA
148,CITY:US240007,Hagerstown,MD
149,CITY:US240004,Cumberland,MD
150,CITY:US240009,Salisbury,MD
151,CITY:US240002,Baltimore,MD
152,CITY:US230003,Lewiston,ME
153,CITY:US230004,Portland,ME
154,CITY:US230002,Bangor,ME
155,CITY:US260006,Detroit,MI
156,CITY:US260012,Kalamazoo,MI
157,CITY:US260013,Lansing,MI
158,CITY:US260002,Ann Arbor,MI
159,CITY:US260009,Grand Rapids,MI
160,CITY:US260011,Jackson,MI
161,CITY:US260015,Midland,MI
162,CITY:US260017,Muskegon,MI
163,CITY:US260008,Flint,MI
164,CITY:US260021,Saginaw,MI
165,CITY:US270013,Minneapolis,MN
166,CITY:US270005,Duluth,MN
167,CITY:US270011,Mankato,MN
168,CITY:US270016,Rochester,MN
169,CITY:US270018,St. Cloud,MN
170,CITY:US290008,Kansas City,MO
171,CITY:US290021,St. Louis,MO
172,CITY:US290020,St. Joseph,MO
173,CITY:US290001,Cape Girardeau,MO
174,CITY:US290002,Columbia,MO
175,CITY:US290006,Jefferson City,MO
176,CITY:US290019,Springfield,MO
177,CITY:US290007,Joplin,MO
178,CITY:US280009,Gulfport,MS
179,CITY:US280010,Hattiesburg,MS
180,CITY:US280011,Jackson,MS
181,CITY:US300001,Billings,MT
182,CITY:US300004,Great Falls,MT
183,CITY:US300007,Missoula,MT
184,CITY:US370005,Charlotte,NC
185,CITY:US370006,Durham,NC
186,CITY:US370011,Greensboro,NC
187,CITY:US370014,Hickory,NC
188,CITY:US370002,Asheville,NC
189,CITY:US370017,Raleigh,NC
190,CITY:US370022,Wilmington,NC
191,CITY:US370004,Burlington,NC
192,CITY:US370016,New Bern,NC
193,CITY:US370012,Greenville,NC
194,CITY:US370015,Jacksonville,NC
195,CITY:US370008,Fayetteville,NC
196,CITY:US370019,Rocky Mount,NC
197,CITY:US380003,Fargo,ND
198,CITY:US380004,Grand Forks,ND
199,CITY:US380001,Bismarck,ND
200,CITY:US310011,Omaha,NE
201,CITY:US310008,Lincoln,NE
202,CITY:US310004,Grand Island,NE
203,CITY:US330008,Portsmouth,NH
204,CITY:US330006,Manchester,NH
205,CITY:US340007,Vineland,NJ
206,CITY:US340006,Trenton,NJ
207,CITY:US350010,Santa Fe,NM
208,CITY:US350002,Albuquerque,NM
209,CITY:US350006,Farmington,NM
210,CITY:US350008,Las Cruces,NM
211,CITY:US320004,Las Vegas,NV
212,CITY:US320006,Reno,NV
213,CITY:US320002,Carson City,NV
214,CITY:US360019,New York,NY
215,CITY:US360001,Albany,NY
216,CITY:US360006,Buffalo,NY
217,CITY:US360029,Utica,NY
218,CITY:US360030,Watertown,NY
219,CITY:US360012,Ithaca,NY
220,CITY:US360014,Kingston,NY
221,CITY:US360026,Rochester,NY
222,CITY:US360009,Elmira,NY
223,CITY:US360028,Syracuse,NY
224,CITY:US360003,Binghamton,NY
225,CITY:US390028,Youngstown,OH
226,CITY:US390009,Cincinnati,OH
227,CITY:US390007,Canton,OH
228,CITY:US390010,Cleveland,OH
229,CITY:US390011,Columbus,OH
230,CITY:US390012,Dayton,OH
231,CITY:US390025,Toledo,OH
232,CITY:US390001,Akron,OH
233,CITY:US390015,Lima,OH
234,CITY:US390016,Mansfield,OH
235,CITY:US400013,Oklahoma City,OK
236,CITY:US400010,Lawton,OK
237,CITY:US400019,Tulsa,OK
238,CITY:US400008,Enid,OK
239,CITY:US410014,Portland,OR
240,CITY:US410001,Bend,OR
241,CITY:US410004,Corvallis,OR
242,CITY:US410005,Eugene,OR
243,CITY:US410016,Salem,OR
244,CITY:US410011,Medford,OR
245,CITY:US410006,Grants Pass,OR
246,CITY:US420001,Allentown,PA
247,CITY:US420015,Philadelphia,PA
248,CITY:US420004,Bloomsburg,PA
249,CITY:US420005,Chambersburg,PA
250,CITY:US420009,Harrisburg,PA
251,CITY:US420018,Scranton,PA
252,CITY:US420024,York,PA
253,CITY:US420012,Lancaster,PA
254,CITY:US420020,State College,PA
255,CITY:US420013,Lebanon,PA
256,CITY:US420017,Reading,PA
257,CITY:US420002,Altoona,PA
258,CITY:US420016,Pittsburgh,PA
259,CITY:US420007,Erie,PA
260,CITY:US420023,Williamsport,PA
261,CITY:US420011,Johnstown,PA
262,CITY:US440002,Providence,RI
263,CITY:US450008,Myrtle Beach,SC
264,CITY:US450001,Charleston,SC
265,CITY:US450003,Columbia,SC
266,CITY:US450005,Greenville,SC
267,CITY:US450007,Hilton Head Island,SC
268,CITY:US450011,Spartanburg,SC
269,CITY:US450004,Florence,SC
270,CITY:US450012,Sumter,SC
271,CITY:US460007,Sioux Falls,SD
272,CITY:US460006,Rapid City,SD
273,CITY:US470009,Kingsport,TN
274,CITY:US470002,Chattanooga,TN
275,CITY:US470013,Memphis,TN
276,CITY:US470003,Clarksville,TN
277,CITY:US470016,Nashville,TN
278,CITY:US470010,Knoxville,TN
279,CITY:US470007,Jackson,TN
280,CITY:US470008,Johnson City,TN
281,CITY:US470014,Morristown,TN
282,CITY:US480062,Texarkana,TX
283,CITY:US480005,Austin,TX
284,CITY:US480007,Beaumont,TX
285,CITY:US480010,Brownsville,TX
286,CITY:US480012,College Station,TX
287,CITY:US480016,Dallas,TX
288,CITY:US480031,Houston,TX
289,CITY:US480037,Killeen,TX
290,CITY:US480044,McAllen,TX
291,CITY:US480057,San Antonio,TX
292,CITY:US480059,Sherman,TX
293,CITY:US480045,Midland,TX
294,CITY:US480002,Amarillo,TX
295,CITY:US480042,Lubbock,TX
296,CITY:US480001,Abilene,TX
297,CITY:US480070,Wichita Falls,TX
298,CITY:US480050,Odessa,TX
299,CITY:US480064,Tyler,TX
300,CITY:US480068,Waco,TX
301,CITY:US480021,El Paso,TX
302,CITY:US480067,Victoria,TX
303,CITY:US480040,Laredo,TX
304,CITY:US480041,Longview,TX
305,CITY:US480014,Corpus Christi,TX
306,CITY:US490003,Logan,UT
307,CITY:US490004,Ogden,UT
308,CITY:US490005,Provo,UT
309,CITY:US490006,Salt Lake City,UT
310,CITY:US490007,St. George,UT
311,CITY:US510017,Virginia Beach,VA
312,CITY:US510018,Winchester,VA
313,CITY:US510003,Blacksburg,VA
314,CITY:US510005,Charlottesville,VA
315,CITY:US510010,Harrisonburg,VA
316,CITY:US510015,Richmond,VA
317,CITY:US510016,Roanoke,VA
318,CITY:US510012,Lynchburg,VA
319,CITY:US500001,Burlington,VT
320,CITY:US530005,Bremerton,WA
321,CITY:US530010,Kennewick,WA
322,CITY:US530012,Mount Vernon,WA
323,CITY:US530014,Olympia,WA
324,CITY:US530018,Seattle,WA
325,CITY:US530019,Spokane,WA
326,CITY:US530023,Walla Walla,WA
327,CITY:US530004,Bellingham,WA
328,CITY:US530024,Wenatchee,WA
329,CITY:US530025,Yakima,WA
330,CITY:US550005,La Crosse,WI
331,CITY:US550003,Janesville,WI
332,CITY:US550009,Milwaukee,WI
333,CITY:US550010,Oshkosh,WI
334,CITY:US550006,Madison,WI
335,CITY:US550013,Sheboygan,WI
336,CITY:US550014,Wausau,WI
337,CITY:US550002,Green Bay,WI
338,CITY:US550001,Eau Claire,WI
339,CITY:US550011,Racine,WI
340,CITY:US540005,Huntington,WV
341,CITY:US540009,Wheeling,WV
342,CITY:US540008,Parkersburg,WV
343,CITY:US540007,Morgantown,WV
344,CITY:US540003,Charleston,WV
345,CITY:US540001,Beckley,WV
346,CITY:US560002,Cheyenne,WY
347,CITY:US560001,Casper,WY
